id,timestamp,groupid,from_mac,to_mac,sensorvalue_a,sensorvalue_b,sensorvalue_c,sensorvalue_d,sensorvalue_e,sensorvalue_f
6853,2023-12-09 18:30:35,13,nRF5340,raspberrypi,233.0,269.0,255.0,0.0,0.0,0
6854,2023-12-09 18:30:36,13,nRF5340,raspberrypi,180.0,215.0,245.0,0.0,0.0,0
6855,2023-12-09 18:30:37,13,nRF5340,raspberrypi,238.0,288.0,262.0,0.0,0.0,0
6856,2023-12-09 18:30:38,13,nRF5340,raspberrypi,164.0,200.0,241.0,0.0,0.0,0
6857,2023-12-09 18:30:38,13,nRF5340,raspberrypi,199.0,232.0,253.0,0.0,0.0,0
6858,2023-12-09 18:30:39,13,nRF5340,raspberrypi,229.0,266.0,255.0,0.0,0.0,0
6859,2023-12-09 18:30:40,13,nRF5340,raspberrypi,185.0,217.0,254.0,0.0,0.0,0
6860,2023-12-09 18:30:41,13,nRF5340,raspberrypi,236.0,280.0,261.0,0.0,0.0,0
6861,2023-12-09 18:30:42,13,nRF5340,raspberrypi,162.0,195.0,245.0,0.0,0.0,0
6862,2023-12-09 18:30:42,13,nRF5340,raspberrypi,195.0,227.0,252.0,0.0,0.0,0
6863,2023-12-09 18:30:43,13,nRF5340,raspberrypi,230.0,266.0,257.0,0.0,0.0,0
6864,2023-12-09 18:30:44,13,nRF5340,raspberrypi,181.0,216.0,249.0,0.0,0.0,0
6865,2023-12-09 18:30:45,13,nRF5340,raspberrypi,239.0,282.0,260.0,0.0,0.0,0
6866,2023-12-09 18:30:46,13,nRF5340,raspberrypi,165.0,202.0,245.0,0.0,0.0,0
6867,2023-12-09 18:30:46,13,nRF5340,raspberrypi,193.0,225.0,246.0,0.0,0.0,0
6868,2023-12-09 18:30:47,13,nRF5340,raspberrypi,228.0,267.0,254.0,0.0,0.0,0
6869,2023-12-09 18:30:48,13,nRF5340,raspberrypi,182.0,217.0,246.0,0.0,0.0,0
6870,2023-12-09 18:30:49,13,nRF5340,raspberrypi,240.0,279.0,262.0,0.0,0.0,0
6871,2023-12-09 18:30:50,13,nRF5340,raspberrypi,164.0,200.0,249.0,0.0,0.0,0
6872,2023-12-09 18:30:50,13,nRF5340,raspberrypi,193.0,235.0,253.0,0.0,0.0,0
6873,2023-12-09 18:30:51,13,nRF5340,raspberrypi,231.0,274.0,261.0,0.0,0.0,0
6874,2023-12-09 18:30:52,13,nRF5340,raspberrypi,181.0,218.0,252.0,0.0,0.0,0
6875,2023-12-09 18:30:53,13,nRF5340,raspberrypi,238.0,283.0,259.0,0.0,0.0,0
6876,2023-12-09 18:30:54,13,nRF5340,raspberrypi,168.0,206.0,248.0,0.0,0.0,0
6877,2023-12-09 18:30:54,13,nRF5340,raspberrypi,196.0,231.0,253.0,0.0,0.0,0
6878,2023-12-09 18:30:55,13,nRF5340,raspberrypi,230.0,268.0,262.0,0.0,0.0,0
6879,2023-12-09 18:31:21,13,nRF5340,raspberrypi,237.0,273.0,260.0,0.0,0.0,0
6880,2023-12-09 18:31:22,13,nRF5340,raspberrypi,168.0,203.0,245.0,0.0,0.0,0
6881,2023-12-09 18:31:22,13,nRF5340,raspberrypi,158.0,212.0,225.0,0.0,0.0,0
6882,2023-12-09 18:31:23,13,nRF5340,raspberrypi,230.0,267.0,255.0,0.0,0.0,0
6883,2023-12-09 18:31:24,13,nRF5340,raspberrypi,188.0,226.0,253.0,0.0,0.0,0
6884,2023-12-09 18:31:25,13,nRF5340,raspberrypi,275.0,303.0,276.0,1.0,0.0,0
6885,2023-12-09 18:31:26,13,nRF5340,raspberrypi,173.0,212.0,252.0,2.0,0.0,0
6886,2023-12-09 18:31:26,13,nRF5340,raspberrypi,194.0,232.0,254.0,2.0,0.0,0
6887,2023-12-09 18:31:27,13,nRF5340,raspberrypi,220.0,265.0,261.0,3.0,0.0,0
6888,2023-12-09 18:31:28,13,nRF5340,raspberrypi,175.0,223.0,253.0,4.0,0.0,0
6889,2023-12-09 18:31:29,13,nRF5340,raspberrypi,227.0,272.0,252.0,5.0,0.0,0
6890,2023-12-09 18:31:30,13,nRF5340,raspberrypi,162.0,201.0,247.0,5.0,0.0,0
6891,2023-12-09 18:31:30,13,nRF5340,raspberrypi,178.0,216.0,238.0,0.0,0.0,0
6892,2023-12-09 18:31:31,13,nRF5340,raspberrypi,218.0,259.0,251.0,0.0,0.0,0
6893,2023-12-09 18:31:32,13,nRF5340,raspberrypi,173.0,210.0,235.0,0.0,0.0,0
6894,2023-12-09 18:31:33,13,nRF5340,raspberrypi,226.0,269.0,250.0,0.0,0.0,0
